High,Low,Close,Volume,PP,R1,R2,R3,S1,S2,S3,CLASS
15.05,15.05,15.05,301,15.05,15.05,15.05,15.05,15.05,15.05,15.05,BUY
15.06,15.06,15.06,213,15.06,15.06,15.06,15.06,15.06,15.06,15.06,BUY
15.06,15.06,15.06,500,15.06,15.06,15.06,15.06,15.06,15.06,15.06,HOLD
15.11,15.11,15.11,400,15.11,15.11,15.11,15.11,15.11,15.11,15.11,HOLD
15.2,15.2,15.2,606,15.2,15.2,15.2,15.2,15.2,15.2,15.2,SELL
15.35,15.2,15.2,403,15.25,15.3,15.4,15.45,15.15,15.1,15,BUY
15.2,15.2,15.2,114,15.2,15.2,15.2,15.2,15.2,15.2,15.2,SELL
15.2,15.2,15.2,600,15.2,15.2,15.2,15.2,15.2,15.2,15.2,SELL
15.22,15.22,15.22,400,15.22,15.22,15.22,15.22,15.22,15.22,15.22,HOLD
15.2,15.2,15.2,101,15.2,15.2,15.2,15.2,15.2,15.2,15.2,BUY
15.35,15.35,15.35,116,15.35,15.35,15.35,15.35,15.35,15.35,15.35,SELL
15.35,15.35,15.35,200,15.35,15.35,15.35,15.35,15.35,15.35,15.35,BUY
15.35,15.35,15.35,1263,15.35,15.35,15.35,15.35,15.35,15.35,15.35,BUY
15.35,15.35,15.35,565,15.35,15.35,15.35,15.35,15.35,15.35,15.35,SELL
15.35,15.35,15.35,100,15.35,15.35,15.35,15.35,15.35,15.35,15.35,BUY
15.35,15.35,15.35,100,15.35,15.35,15.35,15.35,15.35,15.35,15.35,BUY
15.35,15.35,15.35,501,15.35,15.35,15.35,15.35,15.35,15.35,15.35,BUY
15.36,15.36,15.36,112,15.36,15.36,15.36,15.36,15.36,15.36,15.36,BUY
15.48,15.35,15.48,202,15.436666666667,15.523333333333,15.566666666667,15.653333333333,15.393333333333,15.306666666667,15.263333333333,HOLD
15.37,15.37,15.37,100,15.37,15.37,15.37,15.37,15.37,15.37,15.37,HOLD
15.36,15.36,15.36,100,15.36,15.36,15.36,15.36,15.36,15.36,15.36,SELL
15.36,15.36,15.36,107,15.36,15.36,15.36,15.36,15.36,15.36,15.36,BUY
15.55,15.55,15.55,0,15.55,15.55,15.55,15.55,15.55,15.55,15.55,SELL
15.53,15.35,15.53,404,15.47,15.59,15.65,15.77,15.41,15.29,15.23,SELL
15.55,15.54,15.55,336,15.546666666667,15.553333333333,15.556666666667,15.563333333333,15.543333333333,15.536666666667,15.533333333333,HOLD
15.4,15.36,15.36,555,15.373333333333,15.386666666667,15.413333333333,15.426666666667,15.346666666667,15.333333333333,15.306666666667,HOLD
15.43,15.43,15.43,100,15.43,15.43,15.43,15.43,15.43,15.43,15.43,SELL
15.36,15.36,15.36,640,15.36,15.36,15.36,15.36,15.36,15.36,15.36,SELL
15.4,15.36,15.36,916,15.373333333333,15.386666666667,15.413333333333,15.426666666667,15.346666666667,15.333333333333,15.306666666667,BUY
15.43,15.43,15.43,200,15.43,15.43,15.43,15.43,15.43,15.43,15.43,BUY
15.48,15.48,15.48,207,15.48,15.48,15.48,15.48,15.48,15.48,15.48,HOLD
15.43,15.43,15.43,100,15.43,15.43,15.43,15.43,15.43,15.43,15.43,HOLD
15.39,15.39,15.39,347,15.39,15.39,15.39,15.39,15.39,15.39,15.39,SELL
15.44,15.44,15.44,200,15.44,15.44,15.44,15.44,15.44,15.44,15.44,BUY
15.5,15.5,15.5,100,15.5,15.5,15.5,15.5,15.5,15.5,15.5,BUY
15.38,15.38,15.38,323,15.38,15.38,15.38,15.38,15.38,15.38,15.38,HOLD
15.44,15.37,15.44,500,15.416666666667,15.463333333333,15.486666666667,15.533333333333,15.393333333333,15.346666666667,15.323333333333,HOLD
15.44,15.44,15.44,200,15.44,15.44,15.44,15.44,15.44,15.44,15.44,BUY
15.43,15.43,15.43,300,15.43,15.43,15.43,15.43,15.43,15.43,15.43,HOLD
15.43,15.36,15.36,300,15.383333333333,15.406666666667,15.453333333333,15.476666666667,15.336666666667,15.313333333333,15.266666666667,SELL
15.43,15.43,15.43,100,15.43,15.43,15.43,15.43,15.43,15.43,15.43,SELL
15.43,15.43,15.43,200,15.43,15.43,15.43,15.43,15.43,15.43,15.43,SELL
15.5,15.43,15.5,400,15.476666666667,15.523333333333,15.546666666667,15.593333333333,15.453333333333,15.406666666667,15.383333333333,SELL
15.53,15.38,15.38,251,15.43,15.48,15.58,15.63,15.33,15.28,15.18,HOLD
15.6,15.6,15.6,152,15.6,15.6,15.6,15.6,15.6,15.6,15.6,SELL
15.66,15.45,15.45,408,15.52,15.59,15.73,15.8,15.38,15.31,15.17,BUY
15.66,15.66,15.66,300,15.66,15.66,15.66,15.66,15.66,15.66,15.66,HOLD
15.86,15.4,15.68,1655,15.646666666667,15.893333333333,16.106666666667,16.353333333333,15.433333333333,15.186666666667,14.973333333333,HOLD
15.68,15.37,15.37,374,15.473333333333,15.576666666667,15.783333333333,15.886666666667,15.266666666667,15.163333333333,14.956666666667,HOLD
15.73,15.73,15.73,100,15.73,15.73,15.73,15.73,15.73,15.73,15.73,SELL
15.67,15.55,15.55,315,15.59,15.63,15.71,15.75,15.51,15.47,15.39,SELL
15.38,15.38,15.38,328,15.38,15.38,15.38,15.38,15.38,15.38,15.38,BUY
15.64,15.64,15.64,483,15.64,15.64,15.64,15.64,15.64,15.64,15.64,HOLD
15.64,15.6,15.6,480,15.613333333333,15.626666666667,15.653333333333,15.666666666667,15.586666666667,15.573333333333,15.546666666667,BUY
15.6,15.6,15.6,213,15.6,15.6,15.6,15.6,15.6,15.6,15.6,HOLD
15.64,15.6,15.64,431,15.626666666667,15.653333333333,15.666666666667,15.693333333333,15.613333333333,15.586666666667,15.573333333333,BUY
15.6,15.6,15.6,110,15.6,15.6,15.6,15.6,15.6,15.6,15.6,SELL
15.64,15.6,15.64,201,15.626666666667,15.653333333333,15.666666666667,15.693333333333,15.613333333333,15.586666666667,15.573333333333,BUY
15.64,15.64,15.64,200,15.64,15.64,15.64,15.64,15.64,15.64,15.64,HOLD
15.6,15.6,15.6,740,15.6,15.6,15.6,15.6,15.6,15.6,15.6,SELL
15.6,15.6,15.6,120,15.6,15.6,15.6,15.6,15.6,15.6,15.6,HOLD
15.64,15.6,15.6,400,15.613333333333,15.626666666667,15.653333333333,15.666666666667,15.586666666667,15.573333333333,15.546666666667,HOLD
15.6,15.6,15.6,206,15.6,15.6,15.6,15.6,15.6,15.6,15.6,HOLD
15.6,15.6,15.6,223,15.6,15.6,15.6,15.6,15.6,15.6,15.6,SELL
15.6,15.6,15.6,106,15.6,15.6,15.6,15.6,15.6,15.6,15.6,BUY
15.6,15.6,15.6,105,15.6,15.6,15.6,15.6,15.6,15.6,15.6,BUY
15.6,15.6,15.6,106,15.6,15.6,15.6,15.6,15.6,15.6,15.6,BUY
15.6,15.6,15.6,105,15.6,15.6,15.6,15.6,15.6,15.6,15.6,HOLD
15.36,15.36,15.36,347,15.36,15.36,15.36,15.36,15.36,15.36,15.36,BUY
15.76,15.6,15.76,203,15.706666666667,15.813333333333,15.866666666667,15.973333333333,15.653333333333,15.546666666667,15.493333333333,BUY
15.7,15.6,15.6,994,15.633333333333,15.666666666667,15.733333333333,15.766666666667,15.566666666667,15.533333333333,15.466666666667,BUY
15.72,15.6,15.6,313,15.64,15.68,15.76,15.8,15.56,15.52,15.44,SELL
15.72,15.72,15.72,165,15.72,15.72,15.72,15.72,15.72,15.72,15.72,HOLD
15.6,15.6,15.6,101,15.6,15.6,15.6,15.6,15.6,15.6,15.6,HOLD
15.73,15.73,15.73,131,15.73,15.73,15.73,15.73,15.73,15.73,15.73,HOLD
15.76,15.76,15.76,319,15.76,15.76,15.76,15.76,15.76,15.76,15.76,SELL
15.49,15.49,15.49,913,15.49,15.49,15.49,15.49,15.49,15.49,15.49,HOLD
15.73,15.73,15.73,142,15.73,15.73,15.73,15.73,15.73,15.73,15.73,BUY
15.6,15.6,15.6,119,15.6,15.6,15.6,15.6,15.6,15.6,15.6,BUY
15.6,15.6,15.6,247,15.6,15.6,15.6,15.6,15.6,15.6,15.6,BUY
15.65,15.65,15.65,107,15.65,15.65,15.65,15.65,15.65,15.65,15.65,HOLD
15.61,15.37,15.37,761,15.45,15.53,15.69,15.77,15.29,15.21,15.05,SELL
15.63,15.6,15.61,781,15.613333333333,15.626666666667,15.643333333333,15.656666666667,15.596666666667,15.583333333333,15.566666666667,BUY
15.6,15.6,15.6,193,15.6,15.6,15.6,15.6,15.6,15.6,15.6,SELL
15.67,15.67,15.67,187,15.67,15.67,15.67,15.67,15.67,15.67,15.67,BUY
15.55,15.4,15.55,223,15.5,15.6,15.65,15.75,15.45,15.35,15.3,SELL
15.39,15.39,15.39,216,15.39,15.39,15.39,15.39,15.39,15.39,15.39,HOLD
15.39,15.39,15.39,547,15.39,15.39,15.39,15.39,15.39,15.39,15.39,HOLD
15.39,15.39,15.39,100,15.39,15.39,15.39,15.39,15.39,15.39,15.39,BUY
15.39,15.39,15.39,321,15.39,15.39,15.39,15.39,15.39,15.39,15.39,BUY
15.49,15.49,15.49,276,15.49,15.49,15.49,15.49,15.49,15.49,15.49,HOLD
15.46,15.45,15.45,200,15.453333333333,15.456666666667,15.463333333333,15.466666666667,15.446666666667,15.443333333333,15.436666666667,HOLD
15.4,15.38,15.4,485,15.393333333333,15.406666666667,15.413333333333,15.426666666667,15.386666666667,15.373333333333,15.366666666667,BUY
15.38,15.38,15.38,100,15.38,15.38,15.38,15.38,15.38,15.38,15.38,HOLD
15.28,15.2,15.28,4935,15.253333333333,15.306666666667,15.333333333333,15.386666666667,15.226666666667,15.173333333333,15.146666666667,SELL
15.59,15.59,15.59,292,15.59,15.59,15.59,15.59,15.59,15.59,15.59,BUY
15.7,15.7,15.7,378,15.7,15.7,15.7,15.7,15.7,15.7,15.7,SELL
14.98,14.98,14.98,201,14.98,14.98,14.98,14.98,14.98,14.98,14.98,SELL
